# 시험지 둘 — 규칙을 고칠 때 **보지 않고** 따로 쓴 문장. live/typos.tsv 에 맞춰 규칙을 다듬었으니
# 그것만 보면 숫자가 부풀려진다. 이 시험지로 정말 나아졌는지를 본다. 새로 걸린 것을 고쳤으면
# 그 문장은 typos.tsv 로 옮기고, 여기에는 또 안 본 문장을 채워 둔다.

엄마 나 오늘 늦게 들어가도 되?	엄마 나 오늘 늦게 들어가도 돼?
그거 하면 안되는거 알지	그거 하면 안 되는 거 알지
벌써 끝나버렸네 어떻게된거야	벌써 끝나버렸네 어떻게 된 거야 | 벌써 끝나 버렸네 어떻게 된 거야
이제 다 끝났으니까 됬다	이제 다 끝났으니까 됐다
내 말 들어주면 되	내 말 들어주면 돼
그렇게 되면 좋겠다	그렇게 되면 좋겠다
아직 않끝났어	아직 안 끝났어
나 그 영화 않봤어	나 그 영화 안 봤어
왠지 오늘은 잘될것같아	왠지 오늘은 잘될 것 같아
왠 떡이야	웬 떡이야
몇일째 잠을 못잤어	며칠째 잠을 못 잤어
금새 비가 그쳤다	금세 비가 그쳤다
오랫만에 운동했더니 힘들다	오랜만에 운동했더니 힘들다
다들 어의가 없대	다들 어이가 없대
일부로 늦게 온거지?	일부러 늦게 온 거지?
구지 안와도 돼	굳이 안 와도 돼
이따 연락할께	이따 연락할게
그럴줄 몰랐어	그럴 줄 몰랐어
미리 말할껄 그랬다	미리 말할걸 그랬다
여기가 어디에요?	여기가 어디예요?
이게 제일 좋은거에요	이게 제일 좋은 거예요
생일 축하해요 내일 뵈요	생일 축하해요 내일 봬요
어짜피 할거면 빨리해	어차피 할 거면 빨리 해
요세 뭐하고 지내?	요새 뭐 하고 지내?
문을 잠궜어	문을 잠갔어
오이지를 담궜어요	오이지를 담갔어요
폰 번호 바꼈어?	폰 번호 바뀌었어?
걔네 사겼대	걔네 사귀었대
머리 자르러 갈려고	머리 자르러 가려고
공부할려고 했는데 잠들었어	공부하려고 했는데 잠들었어
그럴려면 차라리 안해	그러려면 차라리 안 해
상처가 금방 낳았어	상처가 금방 나았어
식비는 카드로 결재할게	식비는 카드로 결제할게
두근두근 설레인다	두근두근 설렌다
내일 찾아 뵐께요	내일 찾아뵐게요 | 내일 찾아 뵐게요
어떻해 나 지각이야	어떡해 나 지각이야
이거 어떻해 해야돼?	이거 어떻게 해야 돼?
쓸데없는 예기 그만해	쓸데없는 얘기 그만해
괜찬아 괜찬아	괜찮아 괜찮아
모르겟다 진짜	모르겠다 진짜
솔직이 좀 서운했어	솔직히 좀 서운했어
틈틈히 연락해	틈틈이 연락해
희안한 일이네	희한한 일이네
나 오늘 역활 발표해	나 오늘 역할 발표해
이번달 월급 들어왔어	이번 달 월급 들어왔어
다음달에 이사가	다음 달에 이사 가
요번주는 좀 바빠	요번 주는 좀 바빠
뭐먹었어?	뭐 먹었어?
뭐사줄까	뭐 사 줄까 | 뭐 사줄까
어디있어?	어디 있어?
왜그렇게 화났어	왜 그렇게 화났어
무슨말이야	무슨 말이야
잘먹을게	잘 먹을게
잘다녀와	잘 다녀와
그친구 알아?	그 친구 알아?
이노래 좋다	이 노래 좋다
저사람들 누구야	저 사람들 누구야
우리엄마가 그러셨어	우리 엄마가 그러셨어
우리팀이 이겼어	우리 팀이 이겼어
같이먹자	같이 먹자
빨리가자	빨리 가자
나 청소 했어	나 청소했어
내일 전화 해	내일 전화해
오늘 산책 하자	오늘 산책하자
예약 했어?	예약했어?
주문 할게	주문할게
시간되면 들러	시간 되면 들러
밥먹었어?	밥 먹었어?
비온다 우산 가져가	비 온다 우산 가져가
한시간 넘게 기다렸어	한 시간 넘게 기다렸어
커피 두잔 주세요	커피 두 잔 주세요
라면 세그릇 먹었어	라면 세 그릇 먹었어
네명이서 갔어	네 명이서 갔어
열시에 봐	열 시에 봐
갈수있어?	갈 수 있어?
먹을수밖에 없잖아	먹을 수밖에 없잖아
그럴거면 왜 왔어	그럴 거면 왜 왔어
모르는척 해줘	모르는 척해 줘 | 모르는 척해줘
가본적 없어	가 본 적 없어 | 가본 적 없어
해본적 있어?	해 본 적 있어? | 해본 적 있어?
다 먹은거야?	다 먹은 거야?
갈때 연락해	갈 때 연락해
할게 너무 많아	할 게 너무 많아
먹을게 없네	먹을 게 없네
볼만한 영화 있어?	볼 만한 영화 있어?
지금 가는중이야	지금 가는 중이야
놀러가자	놀러 가자
영화 보러갈래?	영화 보러 갈래?
늦게 되서 미안	늦게 돼서 미안
이렇게되면 곤란해	이렇게 되면 곤란해
보고싶어	보고 싶어
