# 시험지 셋 — 2라운드. 1라운드에서 안 다룬 종류 + 다룬 종류를 새 낱말로(규칙이 번지는지).
# 이것도 처음에는 안 보고 썼다. 여기서 걸린 것을 고친 뒤에는 새 시험지로 다시 잰다.

# --- 수·단위 (새 단위) ---
몇년만에 만났어	몇 년 만에 만났어
삼년 동안 살았어	삼 년 동안 살았어
열두시에 점심 먹자	열두 시에 점심 먹자
열한시 반에 봐	열한 시 반에 봐
두달 뒤에 이사해	두 달 뒤에 이사해
다섯개만 사와	다섯 개만 사 와 | 다섯 개만 사와
# --- 의존명사 (새 것) ---
그럴줄 알았으면 안갔지	그럴 줄 알았으면 안 갔지
늦을텐데 괜찮아?	늦을 텐데 괜찮아?
내가 갈테니까 기다려	내가 갈 테니까 기다려
비가 올수도 있어	비가 올 수도 있어
할수도 없고 안할수도 없고	할 수도 없고 안 할 수도 없고
그거 맞는거 같아	그거 맞는 거 같아
좋은거같아	좋은 거 같아
만난지 벌써 삼년이야	만난 지 벌써 삼 년이야
헤어진지 한참 됐어	헤어진 지 한참 됐어
먹을만큼 먹어	먹을 만큼 먹어
시키는대로 했어	시키는 대로 했어
# --- 동사 연결 ---
편의점 갔다왔어	편의점 갔다 왔어
잠깐 갔다올게	잠깐 갔다 올게
먹던지 말던지 알아서 해	먹든지 말든지 알아서 해
하던가 말던가	하든가 말든가
# --- 맞춤법 (새 낱말) ---
재네 뭐해?	쟤네 뭐 해?
개네가 먼저 그랬어	걔네가 먼저 그랬어
예들아 밥먹자	얘들아 밥 먹자
아니오 괜찮아요	아니요 괜찮아요
오늘 너무 설레여	오늘 너무 설레
몇일날 만나?	며칫날 만나? | 며칠 날 만나?
걔 진짜 어이없어	걔 진짜 어이없어
# --- 1라운드 종류, 새 낱말 ---
나 지금 도서관 가	나 지금 도서관 가
친구 집 와	친구 집 와
이따 퇴근 하고 봐	이따 퇴근하고 봐
저녁 준비 해야돼	저녁 준비해야 돼
오늘 청소 안했어	오늘 청소 안 했어
그책 재밌어?	그 책 재밌어?
이가방 얼마야?	이 가방 얼마야?
우리동네 맛집	우리 동네 맛집
어디살아?	어디 살아?
뭐샀어?	뭐 샀어?
왜울어	왜 울어
잘챙겨먹어	잘 챙겨 먹어 | 잘 챙겨먹어
같이놀자	같이 놀자
빨리나와	빨리 나와
보러가자	보러 가자
놀러갈래?	놀러 갈래?
이번학기 너무 힘들어	이번 학기 너무 힘들어
본적 없는데	본 적 없는데
먹어본적 있어?	먹어 본 적 있어? | 먹어본 적 있어?
할게 없어서 심심해	할 게 없어서 심심해
그런거 신경쓰지마	그런 거 신경 쓰지 마
다 먹은거 아니야?	다 먹은 거 아니야?
지금 씻는중	지금 씻는 중
볼만해	볼 만해
그래도 되?	그래도 돼?
이제 안되겠다	이제 안 되겠다
잘되길 바랬는데	잘되길 바랐는데
이거 어떻해 써?	이거 어떻게 써?
현금으로 결재할게요	현금으로 결제할게요
# --- 멀쩡한 문장 ---
그녀는 테니스를 좋아한다	그녀는 테니스를 좋아한다
수도가 어디야?	수도가 어디야?
열심히 할수록 늘어	열심히 할수록 늘어
얼마나 춥던지 몰라	얼마나 춥던지 몰라
어제 갔다가 왔어	어제 갔다가 왔어
다녀올게	다녀올게
설명서 좀 보여줘	설명서 좀 보여 줘 | 설명서 좀 보여줘
