# 시험지 넷 — 3라운드 규칙(구어체 시험지 실패에서 뽑은 것)이 다른 낱말에도 통하는지.
# chat.txt 를 보며 만든 규칙이라 chat.txt 숫자는 부풀었을 수 있다. 이건 안 보고 썼다.
너지금 어디야?	너 지금 어디야?
방금일어났어	방금 일어났어
지금가는중	지금 가는 중
지금부터 시작	지금부터 시작
오늘아침에 늦잠잤어	오늘 아침에 늦잠 잤어
내일저녁에 시간 있어?	내일 저녁에 시간 있어?
어떻게알았어?	어떻게 알았어?
어떻게든 해볼게	어떻게든 해 볼게 | 어떻게든 해볼게
그냥가	그냥 가
딱맞아	딱 맞아
완전좋아	완전 좋아
완전히 잊었어	완전히 잊었어
보고싶어서 많이울었어	보고 싶어서 많이 울었어
기분이안 좋아	기분이 안 좋아
숙제를다 했어	숙제를 다 했어
이것도싸네	이것도 싸네
학교에갔어	학교에 갔어
집에있어	집에 있어
그중에두 명은 안 왔어	그중에 두 명은 안 왔어
십분뒤에 출발	십 분 뒤에 출발
삼일전에 샀어	삼 일 전에 샀어 | 삼일 전에 샀어
식사후에 약 먹어	식사 후에 약 먹어
한시간정도 걸려	한 시간 정도 걸려
잘부탁해	잘 부탁해
검토부탁드려요	검토 부탁드려요
네가 말한대로 됐네	네가 말한 대로 됐네
공부안하고 뭐해	공부 안 하고 뭐 해
빵세 개 주세요	빵 세 개 주세요
커피두 잔	커피 두 잔
# 멀쩡한 문장
보안 때문에 안 돼	보안 때문에 안 돼
그림 도안을 그렸어	그림 도안을 그렸어
불안해	불안해
무한대로 늘어나	무한대로 늘어나
권한대로 해	권한대로 해
최대한 빨리	최대한 빨리
만두 두 개	만두 두 개
열세 명이 왔어	열세 명이 왔어
월세 두 달 밀렸어	월세 두 달 밀렸어
일전에 말했잖아	일전에 말했잖아
주전 선수야	주전 선수야
지금은 안 돼	지금은 안 돼
지금까지 뭐 했어	지금까지 뭐 했어
그냥 그래	그냥 그래
딱딱해	딱딱해
완전한 문장	완전한 문장
오늘도 수고했어	오늘도 수고했어
안하무인이야	안하무인이야
제안을 받았어	제안을 받았어
정도껏 해	정도껏 해
