# 시험지 여섯 — 사람들이 실제로 자주 틀리는 맞춤법(오타가 아니라 몰라서 틀리는 것). 규칙을 안 보고 썼다.
그거 이제 됬어	그거 이제 됐어
내일 봬요 아니 뵈요	내일 봬요 아니 봬요
어제 뵜어요	어제 뵀어요
몇일 뒤에 보자	며칠 뒤에 보자
금새 끝났어	금세 끝났어
웬지 불안해	왠지 불안해
왠일로 전화했어	웬일로 전화했어
왠만하면 오늘 끝내자	웬만하면 오늘 끝내자
오랫만에 만났네	오랜만에 만났네
내 역활이 뭐야	내 역할이 뭐야
진짜 희안하다	진짜 희한하다
일일히 다 확인했어	일일이 다 확인했어
깨끗히 치웠어	깨끗이 치웠어
곰곰히 생각해 봤어	곰곰이 생각해 봤어
틈틈히 공부해	틈틈이 공부해
설겆이 내가 할게	설거지 내가 할게
어의없네 진짜	어이없네 진짜
내가 할께	내가 할게
그럼 갈께요	그럼 갈게요
어떻해 이제	어떡해 이제
나 어떻하지	나 어떡하지
구지 그럴 필요 없어	굳이 그럴 필요 없어
일부로 그런 거 아니야	일부러 그런 거 아니야
이거 내꺼야	이거 내 거야
그건 너꺼 아니야	그건 네 거 아니야
내 바램은 그거야	내 바람은 그거야
설레임 가득	설렘 가득
너무 헤깔려	너무 헷갈려
햇갈리게 하지 마	헷갈리게 하지 마
김치찌게 먹자	김치찌개 먹자
육계장 좋아해	육개장 좋아해
점심은 부페로 가자	점심은 뷔페로 가자
메세지 보냈어	메시지 보냈어
초코렛 사 올게	초콜릿 사 올게
오렌지 쥬스 한 잔	오렌지 주스 한 잔
갯수가 모자라	개수가 모자라
윗층이 시끄러워	위층이 시끄러워
뒷풀이 갈 거야?	뒤풀이 갈 거야?
순대국 먹으러 가자	순댓국 먹으러 가자
전세집 알아보는 중이야	전셋집 알아보는 중이야
존대말 써야지	존댓말 써야지
그러다 다치기 쉽상이야	그러다 다치기 십상이야
눈쌀 찌푸리게 하네	눈살 찌푸리게 하네
되려 내가 혼났어	되레 내가 혼났어
얼굴이 핼슥해졌네	얼굴이 핼쑥해졌네
시험 잘 치뤘어?	시험 잘 치렀어?
문 잠궈 줘	문 잠가 줘
김치 담궈 먹자	김치 담가 먹자
편의점 들렸다 갈게	편의점 들렀다 갈게
말하기를 서슴치 않았다	말하기를 서슴지 않았다
제작년에 갔었어	재작년에 갔었어
곱배기로 주세요	곱빼기로 주세요
떡볶기 먹고 싶다	떡볶이 먹고 싶다
솔직이 말하면	솔직히 말하면
꼼꼼이 봐 줘	꼼꼼히 봐 줘
조용이 해 줘	조용히 해 줘
괜찬아 걱정 마	괜찮아 걱정 마
괜시리 미안하네	괜스레 미안하네
지금 할려고 했어	지금 하려고 했어
나도 갈려고	나도 가려고
밥 먹을려고 했는데	밥 먹으려고 했는데
영화 볼려고	영화 보려고
어따 대고 반말이야	얻다 대고 반말이야
왠 떡이야	웬 떡이야
나 그거 않했어	나 그거 안 했어
오늘은 안했어	오늘은 안 했어
나도 할수있어	나도 할 수 있어
그럴수도 있지	그럴 수도 있지
여기 꽤 먹을만해	여기 꽤 먹을 만해
저번주에 만났잖아	저번 주에 만났잖아
이번달 월급 들어왔어	이번 달 월급 들어왔어
몇번 말했잖아	몇 번 말했잖아
첫번째 문제	첫 번째 문제
두번째로 좋아	두 번째로 좋아
나 너 밖에 없어	나 너밖에 없어
이거 밖에 없어?	이거밖에 없어?
나 내일 갈거야	나 내일 갈 거야
운전할줄 알아?	운전할 줄 알아?
너무 보고싶어	너무 보고 싶어
치킨 먹고싶다	치킨 먹고 싶다
지금 밥 먹고있어	지금 밥 먹고 있어
나중에 연락할께요	나중에 연락할게요
요컨데 안 된다는 거지	요컨대 안 된다는 거지
어줍잖게 굴지 마	어쭙잖게 굴지 마
그럼 안돼지	그럼 안 되지
오늘 안되요	오늘 안 돼요
그러면 되요	그러면 돼요
이제 가도 되	이제 가도 돼
그건 문안하네	그건 무난하네
감기 빨리 낳아	감기 빨리 나아
그럴 줄 알았어	그럴 줄 알았어
정말 고마워	정말 고마워
내일 몇 시에 만나	내일 몇 시에 만나
뭘 해야 할 지 모르겠어	뭘 해야 할지 모르겠어
갈 지 말 지 고민 중	갈지 말지 고민 중
왜 그런 지 모르겠어	왜 그런지 모르겠어
어떻게 하는 지 알려줘	어떻게 하는지 알려줘
뭐 하는 지 궁금해	뭐 하는지 궁금해
어디 있는 지 알아?	어디 있는지 알아?
밥 먹었는 지 물어봐	밥 먹었는지 물어봐
언제 오는 지 확인해 줘	언제 오는지 확인해 줘
여기 온 지 3년 됐어	여기 온 지 3년 됐어
만난 지 얼마나 됐지	만난 지 얼마나 됐지
밥 먹은 지 한 시간 됐어	밥 먹은 지 한 시간 됐어
그걸 어떻게 처리하는 지에 대한 얘기	그걸 어떻게 처리하는지에 대한 얘기
남자 치고는 잘하네	남자치고는 잘하네
처음 치고 잘했어	처음치고 잘했어
공을 치고 달렸어	공을 치고 달렸어
그 의견을 지지 해	그 의견을 지지해
걔는 지 멋대로야	걔는 지 멋대로야
비가 올 지도 몰라	비가 올지도 몰라
뭔 지 모르겠네	뭔지 모르겠네
언제 온 지 기억 안 나	언제 온지 기억 안 나
테니스 치고 왔어	테니스 치고 왔어
외국인 치고 한국말 잘하네	외국인치고 한국말 잘하네
