# 시험지 일곱 — 의존명사 띄어쓰기(때·듯·뻔·대로·만에·줄), 율/률, 되/돼 더. 규칙을 안 보고 썼다.
집에 갈때 연락해	집에 갈 때 연락해
어릴때 자주 갔어	어릴 때 자주 갔어
볼때마다 웃겨	볼 때마다 웃겨
이럴때는 어떻게 해	이럴 때는 어떻게 해
배고플때 먹어	배고플 때 먹어
오늘 비 올듯	오늘 비 올 듯
이번엔 될듯	이번엔 될 듯
진짜 죽을듯이 힘들어	진짜 죽을 듯이 힘들어
그거 좋은듯	그거 좋은 듯
그럴듯한 말이네	그럴듯한 말이네
넘어질뻔했어	넘어질 뻔했어
진짜 죽을뻔	진짜 죽을 뻔
늦을뻔 했잖아	늦을 뻔했잖아
니 말한데로 했어	니 말한 대로 했어
시키는데로 해	시키는 대로 해
하고 싶은데로 해	하고 싶은 대로 해
너 맘 대로 해	너 맘대로 해
3년만에 만났어	3년 만에 만났어
한달만에 왔네	한 달 만에 왔네
하루만에 끝냈어	하루 만에 끝냈어
운전할줄 몰라	운전할 줄 몰라
그럴줄 알았어	그럴 줄 알았어
합격율이 높아	합격률이 높아
성공율 50%	성공률 50%
확율이 낮아	확률이 낮아
비률이 안 맞아	비율이 안 맞아
할인률 얼마야?	할인율 얼마야?
출산률이 떨어졌대	출산율이 떨어졌대
이 정도면 효율 좋다	이 정도면 효율 좋다
법률 상담 받았어	법률 상담 받았어
그래서 되가지고	그래서 돼 가지고
늦어서 되겠어?	늦어서 되겠어?
그럼 되잖아	그럼 되잖아
이제 되야 할 텐데	이제 돼야 할 텐데
여기서 해도되	여기서 해도 돼
이거 되서 다행이다	이거 돼서 다행이다
되도록 빨리 와	되도록 빨리 와
선생님이 되고 싶어	선생님이 되고 싶어
이렇게 하면 될까?	이렇게 하면 될까?
사단이 났네	사달이 났네
늘상 그래	늘 그래
손가락으로 가르켰어	손가락으로 가리켰어
이거 좀 가르켜 줘	이거 좀 가르쳐 줘
하지않아도 돼	하지 않아도 돼
밥 않 먹어	밥 안 먹어
좀더 기다려	좀 더 기다려
거의다 왔어	거의 다 왔어
하루종일 잤어	하루 종일 잤어
일주일동안 못 봤어	일주일 동안 못 봤어
몇시에 끝나?	몇 시에 끝나?
몇개 남았어?	몇 개 남았어?
세시간 걸렸어	세 시간 걸렸어
어쩔수없지 뭐	어쩔 수 없지 뭐
이따봐	이따 봐
내일봐	내일 봐
빨리와	빨리 와
왜그래 또	왜 그래 또
밥먹자	밥 먹자
그건 좀 아닌거 같아	그건 좀 아닌 거 같아
뭐하는거야	뭐 하는 거야
그때 봤잖아	그때 봤잖아
물때가 꼈어	물때가 꼈어
# 아래는 멀쩡한 말 — 건드리면 안 된다(율/률·듯·데로 규칙의 울타리)
비율이 높아	비율이 높아
확률 낮아	확률 낮아
효율 좋아	효율 좋아
법률 상담	법률 상담
선율이 예뻐	선율이 예뻐
환율 올랐어	환율 올랐어
규율 지켜	규율 지켜
자율 학습	자율 학습
능률 오르네	능률 오르네
음률이 좋다	음률이 좋다
백분율로 줘	백분율로 줘
전율이 왔어	전율이 왔어
운율 맞춰	운율 맞춰
일률적으로	일률적으로
합격률 높아	합격률 높아
할인율 얼마	할인율 얼마
이자율 올라	이자율 올라
출산율 낮아	출산율 낮아
실업률 올라	실업률 올라
경쟁률 세다	경쟁률 세다
불문율이야	불문율이야
시청률 1위	시청률 1위
서율이 왔어	서율이 왔어
그런대로 괜찮아	그런대로 괜찮아
딴데로 새지 마	딴 데로 새지 마
한데로 모아	한데로 모아
다른데로 가자	다른데로 가자
그럴듯하네	그럴듯하네
반듯하게 놔	반듯하게 놔
번듯한 집	번듯한 집
그런 듯	그런 듯
물 쓰듯 해	물 쓰듯 해
뻔한 얘기야	뻔한 얘기야
뻔하지 뭐	뻔하지 뭐
그런 데로 가자	그런 데로 가자
율무차 줘	율무차 줘
시도되지 않았다	시도되지 않았다
이렇게 해도 돼	이렇게 해도 돼
