# 시험지 아홉 — 한 문장에 틀린 곳이 둘셋 섞인 긴 카톡. 규칙을 안 보고 썼다.
오늘 회의 몇시에 끝나는지 알려줄수 있어?	오늘 회의 몇 시에 끝나는지 알려줄 수 있어? | 오늘 회의 몇 시에 끝나는지 알려 줄 수 있어?
어제 너무 피곤해서 일찍 잣는데 아직도 졸려	어제 너무 피곤해서 일찍 잤는데 아직도 졸려
내일 비온다니까 우산 꼭 챙겨가	내일 비 온다니까 우산 꼭 챙겨 가 | 내일 비 온다니까 우산 꼭 챙겨가
그거 내가 할께 너는 쉬고있어	그거 내가 할게 너는 쉬고 있어
몇일전에 산 옷인데 벌써 구멍낫어	며칠 전에 산 옷인데 벌써 구멍 났어
진짜 어의없어서 말도 안나온다	진짜 어이없어서 말도 안 나온다
혹시 시간되면 이번주에 밥한번 먹자	혹시 시간 되면 이번 주에 밥 한번 먹자
다음주 월요일까지 제출해야되는데 아직 시작도 못햇어	다음 주 월요일까지 제출해야 되는데 아직 시작도 못 했어
그렇게 하면 안되지 다시해봐	그렇게 하면 안 되지 다시 해 봐 | 그렇게 하면 안 되지 다시 해봐
엄마가 밥먹으래 빨리와	엄마가 밥 먹으래 빨리 와
너 오늘 왠일로 일찍 일어났어?	너 오늘 웬일로 일찍 일어났어?
그 영화 생각보다 재밌엇어 너도 꼭봐	그 영화 생각보다 재밌었어 너도 꼭 봐
어떻해 나 지갑 잃어버렸어	어떡해 나 지갑 잃어버렸어
금방 갈께 조금만 기다려줘	금방 갈게 조금만 기다려 줘 | 금방 갈게 조금만 기다려줘
이번에는 꼭 합격햇으면 좋겠다	이번에는 꼭 합격했으면 좋겠다
오늘 날씨 진짜 좋은데 산책갈래?	오늘 날씨 진짜 좋은데 산책 갈래?
내가 말한데로 하면 될꺼야	내가 말한 대로 하면 될 거야
그사람 요즘 연락되?	그 사람 요즘 연락 돼? | 그 사람 요즘 연락돼?
배고파 죽을꺼 같아 뭐 먹을래	배고파 죽을 거 같아 뭐 먹을래
이따가 집에 도착하면 연락할께	이따가 집에 도착하면 연락할게
주말에 뭐해? 시간있으면 영화보러가자	주말에 뭐 해? 시간 있으면 영화 보러 가자
너무 오랫만이다 잘지냈어?	너무 오랜만이다 잘 지냈어?
그건 너무 비싸서 못사겠어	그건 너무 비싸서 못 사겠어
설겆이는 내가할테니까 너는 쉬어	설거지는 내가 할 테니까 너는 쉬어
어제 먹은 떡볶기 진짜 맛있었는데	어제 먹은 떡볶이 진짜 맛있었는데
잠깐만 나 지금 운전중이야	잠깐만 나 지금 운전 중이야
그럴려고 한게 아니였어 미안해	그러려고 한 게 아니었어 미안해
너무 바빠서 밥먹을 시간도 없엇어	너무 바빠서 밥 먹을 시간도 없었어
다음에 또 놀러와 기다릴께	다음에 또 놀러 와 기다릴게
택배 오늘 도착한데 확인해봐	택배 오늘 도착한대 확인해 봐 | 택배 오늘 도착한대 확인해봐
내일 몇시에 만날지 정하자	내일 몇 시에 만날지 정하자
하루종일 누워만 있엇더니 허리아파	하루 종일 누워만 있었더니 허리 아파
선생님 내일 찾아뵐께요	선생님 내일 찾아뵐게요 | 선생님 내일 찾아 뵐게요
그거 어떻게 하는건지 좀 알려줘	그거 어떻게 하는 건지 좀 알려 줘 | 그거 어떻게 하는 건지 좀 알려줘
생일 축하해 행복한 하루 보내	생일 축하해 행복한 하루 보내
오늘 수고 많앗어 푹 쉬어	오늘 수고 많았어 푹 쉬어
이번 시험 망한거 같애	이번 시험 망한 거 같아
그 얘기 들었어? 걔네 헤어졌데	그 얘기 들었어? 걔네 헤어졌대
나 오늘 야근이라 늦을것 같애	나 오늘 야근이라 늦을 것 같아
감기 빨리 낳아 몸조리 잘해	감기 빨리 나아 몸조리 잘해
# 아래는 멀쩡한 말 — 9라운드 규칙의 울타리
무엇을 먹을까	무엇을 먹을까
무엇도 없다	무엇도 없다
빼앗는 사람	빼앗는 사람
빼앗기지 마	빼앗기지 마
햇살이 좋아	햇살이 좋아
햇반 먹자	햇반 먹자
햇고구마 샀어	햇고구마 샀어
몰래 엿보지 마	몰래 엿보지 마
엿듣지 마	엿듣지 마
그렇게 하되 조심해	그렇게 하되 조심해
걔 내일 간대	걔 내일 간대
비가 온대	비가 온대
밥 먹는대	밥 먹는대
연락되면 알려 줘	연락되면 알려 줘
안 되면 말고	안 되면 말고
도중에 나왔어	도중에 나왔어
집중이 안 돼	집중이 안 돼
꼭대기까지 올라가	꼭대기까지 올라가
꼭지 잠가	꼭지 잠가
안나 왔어?	안나 왔어?
배가 아파	배가 아파
우리 회사가 최고야	우리 회사가 최고야
바다가 보여	바다가 보여
이제 되겠다	이제 되겠다
그 사람 벌써 갔대	그 사람 벌써 갔대
사람들이 엇갈렸어	사람들이 엇갈렸어
올해 합격했으면 좋겠어	올해 합격했으면 좋겠어
밥 먹는대	밥 먹는대
걔 온대	걔 온대
내일 비 온대	내일 비 온대
걔 간대	걔 간대
거기 맛있대	거기 맛있대
날씨 좋대	날씨 좋대
걔가 한대	걔가 한대
지금 자는대	지금 자는대
내일 논대	내일 논대
걔 요즘 공부한대	걔 요즘 공부한대
회의 늦는대	회의 늦는대
걔 이사 간대요	걔 이사 간대요
선생님이 오신대	선생님이 오신대
다들 좋아한대	다들 좋아한대
걔 결혼한대	걔 결혼한대
그거 안 판대	그거 안 판대
