# 시험지 — 신조어·줄임말·채팅 말투. 전부 멀쩡한 말이라 **건드리면 안 된다**(지킴만 본다).
아 진짜 킹받네	아 진짜 킹받네
오늘부터 갓생 산다	오늘부터 갓생 산다
여기 존맛탱이야	여기 존맛탱이야
그건 좀 뇌절인데	그건 좀 뇌절인데
오운완 인증	오운완 인증
이거 완전 개꿀이다	이거 완전 개꿀이다
그 영화 핵노잼이더라	그 영화 핵노잼이더라
레알 실화냐	레알 실화냐
분위기 갑분싸 됐어	분위기 갑분싸 됐어
나 요즘 현타 와	나 요즘 현타 와
멘붕 왔어	멘붕 왔어
진짜 빡친다	진짜 빡친다
넘나 좋은 것	넘나 좋은 것
완전 인정	완전 인정
걔 완전 인싸야	걔 완전 인싸야
나는 아싸라서	나는 아싸라서
존버는 승리한다	존버는 승리한다
오늘 꿀잼이었어	오늘 꿀잼이었어
헐 대박	헐 대박
쩐다 진짜	쩐다 진짜
알잘딱깔센으로 해 줘	알잘딱깔센으로 해 줘
스불재네	스불재네
이거 쌉가능	이거 쌉가능
완전 내 최애야	완전 내 최애야
그거 국룰이지	그거 국룰이지
생파 언제 해?	생파 언제 해?
생선 뭐 받고 싶어?	생선 뭐 받고 싶어?
오늘 번개 콜?	오늘 번개 콜?
엄빠한테 물어볼게	엄빠한테 물어볼게
남친이랑 싸웠어	남친이랑 싸웠어
여친 생겼대	여친 생겼대
자만추가 좋아	자만추가 좋아
이번 주 불금이다	이번 주 불금이다
퇴근각이다	퇴근각이다
이건 무조건 사야 돼	이건 무조건 사야 돼
카톡 확인해 줘	카톡 확인해 줘
인스타 봤어?	인스타 봤어?
유튜브 알고리즘 신기하다	유튜브 알고리즘 신기하다
넷플 뭐 볼까	넷플 뭐 볼까
배민 시킬까?	배민 시킬까?
쿠팡으로 주문했어	쿠팡으로 주문했어
편의점 가서 삼김 사 올게	편의점 가서 삼김 사 올게
아아 한 잔 마시자	아아 한 잔 마시자
얼죽아 인정	얼죽아 인정
중꺾마	중꺾마
오늘 좀 TMI인데	오늘 좀 TMI인데
걔 요즘 MBTI에 빠졌어	걔 요즘 MBTI에 빠졌어
나 ENFP야	나 ENFP야
ㅇㅋ 알겠어	ㅇㅋ 알겠어
ㄱㄱ 가자	ㄱㄱ 가자
ㄹㅇ 맞는 말	ㄹㅇ 맞는 말
넵 확인했습니다	넵 확인했습니다
넹 알겠어요	넹 알겠어요
웅 나도	웅 나도
ㅇㅇ 맞아	ㅇㅇ 맞아
하이 오랜만	하이 오랜만
짱이다	짱이다
대존맛	대존맛
꿀팁 알려 줄게	꿀팁 알려 줄게
