# 실시간 교정 시험지 — 사람들이 카톡에 실제로 칠 법한 문장에 흔한 맞춤법·띄어쓰기 실수를 섞었다.
# 형식: 친 글<TAB>정답 (둘 다 맞으면 ` | ` 로 나란히). live.sh 가 어절마다 스페이스를 누르며 친다.
# **정답 칸은 한글 맞춤법대로다.** 보조용언(-어 주다, -어 보다 …)은 붙여도 띄어도 맞다(제47항).
# 정답 칸을 그대로 쳤을 때 안 건드리는지도 같이 잰다 — 멀쩡한 글을 망가뜨리는지.

# --- 되/돼 ---
나 지금 가도 되요?	나 지금 가도 돼요?
그렇게 하면 안되요	그렇게 하면 안 돼요
이제 다 됬어	이제 다 됐어
늦어서 미안해 차가 막혀서 늦게되서	늦어서 미안해 차가 막혀서 늦게 돼서
걱정안해도되	걱정 안 해도 돼
그건 좀 안될것같아	그건 좀 안 될 것 같아
시간 되면 연락줘	시간 되면 연락 줘 | 시간 되면 연락줘
이거 돼는거야?	이거 되는 거야?
그럼 됬지 뭐	그럼 됐지 뭐
잘되길 바래	잘되길 바라
합격하길 바래요	합격하길 바라요

# --- 안/않 ---
나 오늘 학원 않가	나 오늘 학원 안 가
그거 별로 좋지않아	그거 별로 좋지 않아
밥 아직 안먹었어	밥 아직 안 먹었어
숙제 하나도 안했어	숙제 하나도 안 했어
전화를 않받네	전화를 안 받네
괜찮지 안아?	괜찮지 않아?

# --- 자주 틀리는 말 ---
왠일이야 먼저 연락을 다 하고	웬일이야 먼저 연락을 다 하고
왠만하면 오늘 끝내자	웬만하면 오늘 끝내자
웬지 기분이 좋아	왠지 기분이 좋아
몇일 뒤에 만나자	며칠 뒤에 만나자
금새 다 먹었네	금세 다 먹었네
오랫만이야 잘 지냈어?	오랜만이야 잘 지냈어?
너 역활이 제일 중요해	너 역할이 제일 중요해
진짜 어의없다	진짜 어이없다
희안하네 이게 왜 안되지	희한하네 이게 왜 안 되지
일부로 그런거 아니야	일부러 그런 거 아니야
구지 그럴 필요 없어	굳이 그럴 필요 없어
이제 어떻해	이제 어떡해
