# 시험지 다섯 — 4·5라운드 오타 규칙(ㅆ→ㅅ, ㅐ↔ㅔ, 겹받침)이 새 문장에도 통하는지. 안 보고 썼다.
어제 늦게 잣어	어제 늦게 잤어
다 끝냇어	다 끝냈어
벌써 도착햇대	벌써 도착했대
너무 맛잇엇어	너무 맛있었어
그거 내가 삿어	그거 내가 샀어
엄청 기다렷어	엄청 기다렸어
진짜 놀랏잖아	진짜 놀랐잖아
오늘은 좀 피곤하겟다	오늘은 좀 피곤하겠다
내일 연락드리겟습니다	내일 연락드리겠습니다
운동 열심히 헸어	운동 열심히 했어
숙제 다 헤놓을게	숙제 다 해놓을게 | 숙제 다 해 놓을게
그럼 내가 헤볼게	그럼 내가 해볼게 | 그럼 내가 해 볼게
사진 보내줄개	사진 보내줄게 | 사진 보내 줄게
이따 전화할개요	이따 전화할게요
같이 먹을레?	같이 먹을래?
비 많이 왔내	비 많이 왔네
벌써 다 먹었내	벌써 다 먹었네
생각보다 괜찮던대	생각보다 괜찮던데
일찍 자는 개 좋아	일찍 자는 게 좋아
지금 가는 개 낫겠다	지금 가는 게 낫겠다
그렇게 말한 개 미안해	그렇게 말한 게 미안해
날씨가 별로 좋지 안아	날씨가 별로 좋지 않아
그렇게 멀지 안네	그렇게 멀지 않네
너무 춥지 안았어?	너무 춥지 않았어?
# 멀쩡한 문장
이제 헤어지자	이제 헤어지자
헤드셋 좋다	헤드셋 좋다
비행기 날개	비행기 날개
사과 두 개 좀 줄래	사과 두 개 좀 줄래
안내 방송 들었어?	안내 방송 들었어?
실내 온도 좀 올려	실내 온도 좀 올려
강아지 한 개도 아니고	강아지 한 개도 아니고
그 개 좀 봐	그 개 좀 봐
이게 더 낫겠다	이게 더 낫겠다
뭐가 더 나아?	뭐가 더 나아?
